Brand,Model,Year,Category,Rating,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Engine stroke
acabion,da vinci 650-vi,2011,Prototype / concept model,3.2,-1,804,-2,Electric,Electric
acabion,gtbo 55,2007,Sport,2.6,1300,541,420,In-line four,four-stroke
acabion,gtbo 600 daytona-vi,2011,Prototype / concept model,3.5,-1,536,-2,Electric,Electric
acabion,gtbo 600 daytona-vi,2021,Prototype / concept model,0,-1,536,-2,Electric,Electric
acabion,gtbo 70,2007,Prototype / concept model,3.1,1300,689,490,In-line four,four-stroke
access,37 offroad e-scooter,2021,Scooter,0,-1,1.1,-2,Electric,Electric
access,ams 3.20 supercross,2016,ATV,0,280,18.8,-2,Single cylinder,four-stroke
access,ams 4.30 supermoto efi,2016,ATV,0,359.3,29.5,-2,Single cylinder,four-stroke
access,ams 4.38 sm gear shift,2016,ATV,0,449,37.6,-2,Single cylinder,four-stroke
access,ams 4.38 sx gear shift,2016,ATV,0,449,37.6,-2,Single cylinder,four-stroke
access,ams 6.46 basic,2016,ATV,0,608,45.6,-2,Single cylinder,four-stroke
access,ams 6.46 lux,2016,ATV,0,608,45.6,-2,Single cylinder,four-stroke
access,ams 6.46 lux long,2016,ATV,0,608,45.6,-2,Single cylinder,four-stroke
access,ams 8.57 lux lv,2016,ATV,3.9,781,56.3,-2,Single cylinder,four-stroke
access,amx 8.57 efi,2018,ATV,0,781,57.7,-2,Single cylinder,four-stroke
access,minisport 110,2021,ATV,0,107,6.8,-2,Single cylinder,four-stroke
access,shade 200,2021,ATV,0,176,13.1,-2,Single cylinder,four-stroke
access,shade 420,2018,ATV,0,359.3,26.8,-2,Single cylinder,four-stroke
access,shade sport 650,2018,ATV,0,608,45.6,-2,Single cylinder,four-stroke
access,shade sport 650 eps,2020,ATV,0,608,45.6,-2,Single cylinder,four-stroke
access,shade sport 850,2018,ATV,0,781,57.7,-2,Single cylinder,four-stroke
access,shade sport 850 lv,2020,ATV,0,781,57.7,-2,Single cylinder,four-stroke
access,shade sport 850 touring,2020,ATV,0,781,57.7,-2,Single cylinder,four-stroke
access,shade xtreme 650,2022,ATV,0,608,45.6,-2,Single cylinder,four-stroke
access,shade xtreme 650 ng,2020,ATV,0,608,45.6,-2,Single cylinder,four-stroke
access,shade xtreme 850,2018,ATV,2.8,781,57.7,-2,Single cylinder,four-stroke
access,shade xtreme 850 dlx eps,2020,ATV,0,781,57.7,-2,Single cylinder,four-stroke
access,xtreme enduro 300,2021,ATV,0,280,18.8,-2,Single cylinder,four-stroke
access,xtreme s 480,2021,ATV,0,449,-3,-2,Single cylinder,four-stroke
access,xtreme supermoto 300,2021,ATV,0,280,18.8,-2,Single cylinder,four-stroke
ace,exp-4,1923,Sport,0,1299,-3,-2,In-line four,four-stroke
ace,standard,1924,Allround,0,1234,-3,-2,Twin,four-stroke
ace,standard,1925,Allround,0,1234,-3,-2,Twin,four-stroke
ace,standard,1926,Allround,0,1234,-3,-2,Twin,four-stroke
ace,standard model,1927,Allround,0,1234,-3,-2,Twin,four-stroke
adiva,ad 125,2009,Scooter,2.8,124,14.8,12,Single cylinder,four-stroke
adiva,ad 125,2011,Scooter,2.9,124,13,10.9,Single cylinder,four-stroke
adiva,ad 125le,2010,Scooter,1.9,124,13,10.9,Single cylinder,four-stroke
adiva,ad 200,2011,Scooter,3.4,171.2,15.8,15.3,Single cylinder,four-stroke
adiva,ad 250,2009,Scooter,2.9,244,21.5,20.2,Single cylinder,four-stroke
adiva,ad tre,2014,Scooter,0,205.3,20.6,18.9,Single cylinder,four-stroke
adiva,ad tre 55,2014,Scooter,0,205.3,20.6,18.9,Single cylinder,four-stroke
adiva,ad125,2008,Scooter,2.2,124,14.8,12,Single cylinder,four-stroke
adiva,ad250,2008,Scooter,3.4,244,21.5,20.2,Single cylinder,four-stroke
adiva,ad3 300,2018,Scooter,0,299,-3,30.1,Single cylinder,four-stroke
adiva,ad3 300,2019,Scooter,0,299,29.4,31,Single cylinder,four-stroke
adiva,ad3 300lt,2020,Scooter,0,299,29.4,30.1,Single cylinder,four-stroke
adiva,ad3 400,2018,Scooter,3.3,399,36.7,38.1,Single cylinder,four-stroke
adiva,ad3 400,2019,Scooter,0,399,36.7,38.1,Single cylinder,four-stroke
adiva,ar 125,2011,Scooter,0,124,13,10.9,Single cylinder,four-stroke
adiva,ar 200,2011,Scooter,3,171.2,15.8,15.3,Single cylinder,four-stroke
adiva,ar3 200,2018,Scooter,0,190,18.8,17,Single cylinder,four-stroke
adiva,birdie,2012,Scooter,2.2,124.6,9.4,9,Single cylinder,four-stroke
adiva,cargo 3,2013,Scooter,0,-1,1.3,180,Electric,Electric
adiva,cargo 3,2014,Scooter,0,-1,1.3,180,Electric,Electric
adiva,cargo2,2011,Scooter,0,-1,-3,-2,Electric,Electric
adiva,e-moving,2013,Scooter,0,-1,0.8,-2,Electric,Electric
adiva,e-moving,2014,Scooter,0,-1,0.8,-2,Electric,Electric
adiva,n125,2010,Scooter,0,124,10.3,9.8,Single cylinder,four-stroke
